RankPosition,Publication,h5-index,h5-median
1,Nature,366,563
2,The New England Journal of Medicine,352,597
3,Science,320,466
4,The Lancet,273,420
5,Chemical Society reviews,241,346
6,Cell,237,358
7,Journal of the American Chemical Society,219,288
8,Advanced Materials,218,299
9,Proceedings of the National Academy of Sciences,216,275
10,Chemical Reviews,211,339
11,Nature Communications,201,267
12,JAMA,199,310
13,Physical Review Letters,196,290
14,Angewandte Chemie International Edition,196,275
15,Nano Letters,195,298
16,Journal of Clinical Oncology,194,273
17,Nucleic Acids Research,192,358
18,Energy & Environmental Science,192,281
19,ACS Nano,186,255
20,Nature Genetics,182,267
21,arXiv High Energy Physics - Experiment (hep-ex),181,264
22,Journal of the American College of Cardiology,176,253
23,Nature Materials,173,300
24,arXiv Mesoscale and Nanoscale Physics (cond-matmes-hall),172,273
25,PLoS ONE,171,225
26,The Lancet Oncology,169,269
27,arXiv Cosmology and Extragalactic Astrophysics (astro-phCO),168,252
28,Circulation,168,246
29,arXiv High Energy Physics - Phenomenology (hep-ph),168,227
30,Nature Medicine,165,239
31,NBER Working Papers,165,235
32,Journal of High Energy Physics,161,220
33,The Astrophysical Journal,161,206
34,arXiv Materials Science (cond-matmtrl-sci),158,250
35,IEEE Conference on Computer Vision and Pattern Recognition, CVPR,158,237
36,Blood,156,210
37,Nature Biotechnology,155,262
38,Nature Nanotechnology,152,263
39,The Cochrane Database of Systematic Reviews,150,220
40,Accounts of Chemical Research,150,206
41,Nature Photonics,149,260
42,Nature Methods,148,220
43,British Medical Journal,148,206
44,Neuron,146,216
45,Physical Review D,144,206
46,Gastroenterology,142,210
47,Renewable and Sustainable Energy Reviews,142,178
48,The American Economic Review,141,216
49,The Journal of Clinical Investigation,141,189
50,arXiv Computer Vision and Pattern Recognition (csCV),137,242
51,Nature Reviews Genetics,137,232
52,Immunity,137,212
53,Chemical communications (Cambridge, England),137,171
54,Nature Neuroscience,136,186
55,European Heart Journal,135,199
56,Monthly Notices of the Royal Astronomical Society,134,177
57,Advanced Functional Materials,133,186
58,Scientific Reports,131,190
59,Cancer Research,131,169
60,Nature Reviews Immunology,129,226
61,arXiv Quantum Physics (quant-ph),129,187
62,Nature Reviews Molecular Cell Biology,128,253
63,Science Translational Medicine,128,186
64,NeuroImage,128,173
65,Annals of Internal Medicine,127,204
66,Journal of Materials Chemistry,127,163
67,Nature Physics,126,211
68,Nature Reviews Cancer,125,229
69,Cell Stem Cell,125,174
70,Diabetes Care,125,163
71,Cancer Cell,124,193
72,Nanoscale,123,178
73,Physical Review B,123,175
74,Clinical Cancer Research,123,160
75,Hepatology,122,158
76,Cell Metabolism,121,171
77,Molecular Cell,121,166
78,IEEE Transactions on Power Electronics,121,160
79,Journal of Financial Economics,120,189
80,Nature Climate Change,120,177
81,Biomaterials,120,151
82,arXiv High Energy Physics - Theory (hep-th),120,149
83,Obstetrical & Gynecological Survey,119,228
84,ACS Applied Materials & Interfaces,119,147
85,Physics Letters B,118,177
86,Clinical Infectious Diseases,118,155
87,The Lancet Neurology,117,200
88,Gut,117,192
89,Nature Immunology,117,180
90,Environmental Science & Technology,117,159
91,Journal of Hepatology,117,155
92,Journal of Materials Chemistry A,117,149
93,Annals of Oncology,116,168
94,European Urology,116,165
95,arXiv Information Theory (csIT),116,161
96,The Journal of Physical Chemistry C,116,154
97,Nature Reviews Neuroscience,115,217
98,IEEE Transactions on Industrial Electronics,115,158
99,IEEE Transactions on Pattern Analysis and Machine Intelligence,114,197
100,Nature Chemistry,114,169